+-----------+-------+
|    CID    | Value |
+-----------+-------+
| 537046151 |  1864 |
| 537035897 |  1819 |
| 537042913 |  1793 |
| 537041832 |  1686 |
| 537040150 |  1602 |
| 537036449 |  1489 |
| 537047846 |  1334 |
| 537042598 |  1333 |
| 537032940 |  1303 |
| 537036016 |  1299 |
| 537050647 |  1293 |
| 537048215 |  1286 |
| 537040687 |  1282 |
| 537037996 |  1256 |
| 537035355 |  1227 |
| 537033790 |  1198 |
| 537043598 |  1179 |
| 537043588 |  1173 |
| 537031986 |  1161 |
| 537036108 |  1142 |
| 537038487 |  1140 |
| 537041003 |  1118 |
| 537038517 |  1113 |
| 537038496 |  1098 |
| 537038484 |  1093 |
| 537041998 |  1090 |
| 537040300 |  1089 |
| 537049103 |  1077 |
| 537046595 |  1059 |
| 537041435 |  1054 |
| 537050338 |  1034 |
| 537043309 |  1009 |
| 537043520 |  1007 |
| 537046693 |  985  |
| 537032598 |  976  |
| 537049640 |  976  |
| 537048777 |  973  |
| 537040949 |  965  |
| 537042632 |  964  |
| 537035161 |  946  |
| 537037105 |  939  |
| 537046587 |  938  |
| 537035049 |  936  |
| 537037440 |  930  |
| 537044127 |  927  |
| 537046690 |  920  |
| 537035074 |  919  |
| 537036509 |  910  |
| 537046031 |  905  |
| 537040095 |  905  |
| 537035914 |  900  |
| 537032085 |  894  |
| 537030585 |  891  |
| 537048115 |  889  |
| 537030939 |  887  |
| 537045960 |  883  |
| 537035361 |  883  |
| 537032111 |  875  |
| 537039034 |  870  |
| 537036662 |  867  |
| 537040897 |  850  |
| 537036623 |  847  |
| 537037902 |  847  |
| 537040959 |  843  |
| 537037833 |  838  |
| 537038597 |  831  |
| 537043465 |  830  |
| 537036710 |  827  |
| 537049191 |  819  |
| 537036329 |  808  |
| 537037921 |  808  |
| 537045412 |  806  |
| 537046169 |  806  |
| 537039625 |  804  |
| 537043655 |  801  |
| 537040998 |  795  |
| 537043354 |  791  |
| 537036364 |  791  |
| 537038689 |  790  |
| 537030449 |  789  |
| 537034651 |  789  |
| 537048073 |  788  |
| 537035660 |  784  |
| 537043878 |  782  |
| 537049586 |  782  |
| 537043529 |  781  |
| 537041366 |  780  |
| 537037579 |  779  |
| 537037615 |  779  |
| 537037979 |  778  |
| 537040441 |  774  |
| 537030924 |  772  |
| 537038587 |  772  |
| 537048674 |  770  |
| 537035113 |  769  |
| 537034173 |  768  |
| 537040645 |  766  |
| 537045419 |  765  |
